,rank,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
16,16,0.679,0.634,5,-5.024,0,0.0654,0.232,0.0,0.115,0.498,102.013,audio_features,0dA2Mk56wEzDgegdC6R17g,spotify:track:0dA2Mk56wEzDgegdC6R17g,https://api.spotify.com/v1/tracks/0dA2Mk56wEzDgegdC6R17g,https://api.spotify.com/v1/audio-analysis/0dA2Mk56wEzDgegdC6R17g,210091,4
17,17,0.671,0.672,0,-3.094,0,0.0688,0.0329,0.0,0.118,0.632,97.979,audio_features,1OAh8uOEOvTDqkKFsKksCi,spotify:track:1OAh8uOEOvTDqkKFsKksCi,https://api.spotify.com/v1/tracks/1OAh8uOEOvTDqkKFsKksCi,https://api.spotify.com/v1/audio-analysis/1OAh8uOEOvTDqkKFsKksCi,204173,4
18,18,0.794,0.647,0,-6.232,1,0.0628,0.158,0.0,0.139,0.345,145.945,audio_features,21xJVN5wEbJogczYxfZhqR,spotify:track:21xJVN5wEbJogczYxfZhqR,https://api.spotify.com/v1/tracks/21xJVN5wEbJogczYxfZhqR,https://api.spotify.com/v1/audio-analysis/21xJVN5wEbJogczYxfZhqR,291893,4
19,19,0.681,0.594,7,-7.028,1,0.282,0.165,3.49e-06,0.134,0.535,186.054,audio_features,5aAx2yezTd8zXrkmtKl66Z,spotify:track:5aAx2yezTd8zXrkmtKl66Z,https://api.spotify.com/v1/tracks/5aAx2yezTd8zXrkmtKl66Z,https://api.spotify.com/v1/audio-analysis/5aAx2yezTd8zXrkmtKl66Z,230453,4
20,20,0.799,0.436,1,-9.975,0,0.379,0.283,0.000105,0.0968,0.311,80.028,audio_features,1WIfWj5skn5UUZTs4cEFBe,spotify:track:1WIfWj5skn5UUZTs4cEFBe,https://api.spotify.com/v1/tracks/1WIfWj5skn5UUZTs4cEFBe,https://api.spotify.com/v1/audio-analysis/1WIfWj5skn5UUZTs4cEFBe,217566,4
21,21,0.774,0.626,3,-4.432,0,0.0432,0.0969,3.12e-05,0.0848,0.777,100.041,audio_features,4iLqG9SeJSnt0cSPICSjxv,spotify:track:4iLqG9SeJSnt0cSPICSjxv,https://api.spotify.com/v1/tracks/4iLqG9SeJSnt0cSPICSjxv,https://api.spotify.com/v1/audio-analysis/4iLqG9SeJSnt0cSPICSjxv,211475,4
22,22,0.857,0.8,2,-4.035,1,0.0583,0.381,0.0,0.0913,0.966,121.996,audio_features,79cuOz3SPQTuFrp8WgftAu,spotify:track:79cuOz3SPQTuFrp8WgftAu,https://api.spotify.com/v1/tracks/79cuOz3SPQTuFrp8WgftAu,https://api.spotify.com/v1/audio-analysis/79cuOz3SPQTuFrp8WgftAu,199440,4
23,23,0.929,0.723,11,-5.792,0,0.109,0.0672,0.0,0.346,0.458,125.022,audio_features,2771LMNxwf62FTAdpJMQfM,spotify:track:2771LMNxwf62FTAdpJMQfM,https://api.spotify.com/v1/tracks/2771LMNxwf62FTAdpJMQfM,https://api.spotify.com/v1/audio-analysis/2771LMNxwf62FTAdpJMQfM,223962,4
24,24,0.745,0.359,1,-10.429,1,0.112,0.192,0.00628,0.138,0.55,160.123,audio_features,2Uvy6SkNqxvnH1W68dymxG,spotify:track:2Uvy6SkNqxvnH1W68dymxG,https://api.spotify.com/v1/tracks/2Uvy6SkNqxvnH1W68dymxG,https://api.spotify.com/v1/audio-analysis/2Uvy6SkNqxvnH1W68dymxG,326933,4
25,25,0.735,0.451,0,-8.374,1,0.0585,0.0631,1.3e-05,0.325,0.0862,117.973,audio_features,3NdDpSvN911VPGivFlV5d0,spotify:track:3NdDpSvN911VPGivFlV5d0,https://api.spotify.com/v1/tracks/3NdDpSvN911VPGivFlV5d0,https://api.spotify.com/v1/audio-analysis/3NdDpSvN911VPGivFlV5d0,245200,4
26,26,0.64,0.533,0,-6.596,1,0.0706,0.119,0.0,0.0864,0.515,99.968,audio_features,3eR23VReFzcdmS7TYCrhCe,spotify:track:3eR23VReFzcdmS7TYCrhCe,https://api.spotify.com/v1/tracks/3eR23VReFzcdmS7TYCrhCe,https://api.spotify.com/v1/audio-analysis/3eR23VReFzcdmS7TYCrhCe,220781,4
27,27,0.746,0.653,7,-6.745,1,0.289,0.378,0.0,0.229,0.672,75.016,audio_features,2EEeOnHehOozLq4aS0n6SL,spotify:track:2EEeOnHehOozLq4aS0n6SL,https://api.spotify.com/v1/tracks/2EEeOnHehOozLq4aS0n6SL,https://api.spotify.com/v1/audio-analysis/2EEeOnHehOozLq4aS0n6SL,253107,4
28,28,0.683,0.427,8,-6.827,1,0.0777,0.368,0.0,0.0604,0.426,113.634,audio_features,1sXUWdKx03aP9Gmzft58rt,spotify:track:1sXUWdKx03aP9Gmzft58rt,https://api.spotify.com/v1/tracks/1sXUWdKx03aP9Gmzft58rt,https://api.spotify.com/v1/audio-analysis/1sXUWdKx03aP9Gmzft58rt,176347,4
29,29,0.319,0.739,0,-5.74,1,0.272,0.0285,0.0,0.111,0.449,194.169,audio_features,42ydLwx4i5V49RXHOozJZq,spotify:track:42ydLwx4i5V49RXHOozJZq,https://api.spotify.com/v1/tracks/42ydLwx4i5V49RXHOozJZq,https://api.spotify.com/v1/audio-analysis/42ydLwx4i5V49RXHOozJZq,230227,4
30,30,0.627,0.572,5,-7.738,0,0.0373,0.568,1.52e-06,0.198,0.361,100.041,audio_features,5aFQU3VPCQ3YGfKBA4tLfj,spotify:track:5aFQU3VPCQ3YGfKBA4tLfj,https://api.spotify.com/v1/tracks/5aFQU3VPCQ3YGfKBA4tLfj,https://api.spotify.com/v1/audio-analysis/5aFQU3VPCQ3YGfKBA4tLfj,250173,4
31,31,0.728,0.426,0,-6.69,1,0.0509,0.0142,0.0,0.0546,0.844,85.908,audio_features,167NczpNbRF7oWakJaY3Hh,spotify:track:167NczpNbRF7oWakJaY3Hh,https://api.spotify.com/v1/tracks/167NczpNbRF7oWakJaY3Hh,https://api.spotify.com/v1/audio-analysis/167NczpNbRF7oWakJaY3Hh,188174,4
32,32,0.509,0.637,4,-4.83,0,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,audio_features,26QRPeQOgmIGLCQKgoUJkG,spotify:track:26QRPeQOgmIGLCQKgoUJkG,https://api.spotify.com/v1/tracks/26QRPeQOgmIGLCQKgoUJkG,https://api.spotify.com/v1/audio-analysis/26QRPeQOgmIGLCQKgoUJkG,224000,3
33,33,0.769,0.813,0,-5.9,0,0.143,0.429,0.0,0.0952,0.567,92.985,audio_features,4RepvCWqsP6zBuzvwYibAS,spotify:track:4RepvCWqsP6zBuzvwYibAS,https://api.spotify.com/v1/tracks/4RepvCWqsP6zBuzvwYibAS,https://api.spotify.com/v1/audio-analysis/4RepvCWqsP6zBuzvwYibAS,269187,4
34,34,0.684,0.549,9,-5.695,1,0.248,0.11,0.0,0.125,0.277,81.441,audio_features,0PyWKgNmGiYTFe6MXN5U4K,spotify:track:0PyWKgNmGiYTFe6MXN5U4K,https://api.spotify.com/v1/tracks/0PyWKgNmGiYTFe6MXN5U4K,https://api.spotify.com/v1/audio-analysis/0PyWKgNmGiYTFe6MXN5U4K,222360,4
35,35,0.869,0.485,6,-5.595,1,0.0545,0.246,0.0,0.0765,0.527,106.028,audio_features,6EpRaXYhGOB3fj4V2uDkMJ,spotify:track:6EpRaXYhGOB3fj4V2uDkMJ,https://api.spotify.com/v1/tracks/6EpRaXYhGOB3fj4V2uDkMJ,https://api.spotify.com/v1/audio-analysis/6EpRaXYhGOB3fj4V2uDkMJ,204502,4
36,36,0.928,0.481,9,-9.35,0,0.287,0.105,0.0,0.176,0.613,134.007,audio_features,5o2r7507gCOYdRMeR3noqZ,spotify:track:5o2r7507gCOYdRMeR3noqZ,https://api.spotify.com/v1/tracks/5o2r7507gCOYdRMeR3noqZ,https://api.spotify.com/v1/audio-analysis/5o2r7507gCOYdRMeR3noqZ,210937,4
37,37,0.775,0.617,7,-6.166,1,0.0701,0.341,0.0,0.0985,0.485,100.048,audio_features,2QbFClFyhMMtiurUjuQlAe,spotify:track:2QbFClFyhMMtiurUjuQlAe,https://api.spotify.com/v1/tracks/2QbFClFyhMMtiurUjuQlAe,https://api.spotify.com/v1/audio-analysis/2QbFClFyhMMtiurUjuQlAe,214265,4
38,38,0.773,0.68,9,-6.378,0,0.141,0.213,1.57e-05,0.122,0.497,128.062,audio_features,6uFsE1JgZ20EXyU0JQZbUR,spotify:track:6uFsE1JgZ20EXyU0JQZbUR,https://api.spotify.com/v1/tracks/6uFsE1JgZ20EXyU0JQZbUR,https://api.spotify.com/v1/audio-analysis/6uFsE1JgZ20EXyU0JQZbUR,211859,4
39,39,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,audio_features,66qlqxhEMpSHOzjRK4il0b,spotify:track:66qlqxhEMpSHOzjRK4il0b,https://api.spotify.com/v1/tracks/66qlqxhEMpSHOzjRK4il0b,https://api.spotify.com/v1/audio-analysis/66qlqxhEMpSHOzjRK4il0b,261154,4
40,40,0.678,0.696,2,-4.79,1,0.133,0.206,0.0,0.164,0.254,137.822,audio_features,6TXglvsCOo7dQrEgRiIdO0,spotify:track:6TXglvsCOo7dQrEgRiIdO0,https://api.spotify.com/v1/tracks/6TXglvsCOo7dQrEgRiIdO0,https://api.spotify.com/v1/audio-analysis/6TXglvsCOo7dQrEgRiIdO0,239293,4
41,41,0.646,0.644,2,-6.763,1,0.031,0.0243,0.0,0.0888,0.251,99.999,audio_features,15vzANxN8G9wWfwAJLLMCg,spotify:track:15vzANxN8G9wWfwAJLLMCg,https://api.spotify.com/v1/tracks/15vzANxN8G9wWfwAJLLMCg,https://api.spotify.com/v1/audio-analysis/15vzANxN8G9wWfwAJLLMCg,221520,4
42,42,0.648,0.738,6,-5.883,0,0.247,0.0408,0.0,0.292,0.603,159.145,audio_features,4pLwZjInHj3SimIyN9SnOz,spotify:track:4pLwZjInHj3SimIyN9SnOz,https://api.spotify.com/v1/tracks/4pLwZjInHj3SimIyN9SnOz,https://api.spotify.com/v1/audio-analysis/4pLwZjInHj3SimIyN9SnOz,226160,4
43,43,0.72,0.763,9,-4.068,0,0.0523,0.406,0.0,0.18,0.742,101.965,audio_features,5knuzwU65gJK7IF5yJsuaW,spotify:track:5knuzwU65gJK7IF5yJsuaW,https://api.spotify.com/v1/tracks/5knuzwU65gJK7IF5yJsuaW,https://api.spotify.com/v1/audio-analysis/5knuzwU65gJK7IF5yJsuaW,251088,4
44,44,0.78,0.798,1,-5.151,0,0.0613,0.0406,6.31e-05,0.0733,0.771,78.969,audio_features,7FESgYLcOufHqKlwrvJN60,spotify:track:7FESgYLcOufHqKlwrvJN60,https://api.spotify.com/v1/tracks/7FESgYLcOufHqKlwrvJN60,https://api.spotify.com/v1/audio-analysis/7FESgYLcOufHqKlwrvJN60,163251,4
45,45,0.476,0.718,8,-5.309,1,0.0576,0.0784,1.02e-05,0.122,0.142,199.864,audio_features,4pdPtRcBmOSQDlJ3Fk945m,spotify:track:4pdPtRcBmOSQDlJ3Fk945m,https://api.spotify.com/v1/tracks/4pdPtRcBmOSQDlJ3Fk945m,https://api.spotify.com/v1/audio-analysis/4pdPtRcBmOSQDlJ3Fk945m,205947,4
46,46,0.704,0.633,11,-6.923,0,0.241,0.0214,0.0,0.29,0.863,144.021,audio_features,3m660poUr1chesgkkjQM7P,spotify:track:3m660poUr1chesgkkjQM7P,https://api.spotify.com/v1/tracks/3m660poUr1chesgkkjQM7P,https://api.spotify.com/v1/audio-analysis/3m660poUr1chesgkkjQM7P,203760,4
47,47,0.884,0.346,8,-8.228,0,0.351,0.0151,7.04e-06,0.0871,0.376,75.016,audio_features,2fQrGHiQOvpL9UgPvtYy6G,spotify:track:2fQrGHiQOvpL9UgPvtYy6G,https://api.spotify.com/v1/tracks/2fQrGHiQOvpL9UgPvtYy6G,https://api.spotify.com/v1/audio-analysis/2fQrGHiQOvpL9UgPvtYy6G,220307,4
48,48,0.667,0.83,0,-5.715,1,0.0749,0.0123,0.0,0.191,0.701,113.03,audio_features,6JV2JOEocMgcZxYSZelKcc,spotify:track:6JV2JOEocMgcZxYSZelKcc,https://api.spotify.com/v1/tracks/6JV2JOEocMgcZxYSZelKcc,https://api.spotify.com/v1/audio-analysis/6JV2JOEocMgcZxYSZelKcc,236002,4
49,49,0.705,0.714,11,-6.39,0,0.0792,0.0249,0.0,0.253,0.434,104.996,audio_features,7fwXWKdDNI5IutOMc5OKYw,spotify:track:7fwXWKdDNI5IutOMc5OKYw,https://api.spotify.com/v1/tracks/7fwXWKdDNI5IutOMc5OKYw,https://api.spotify.com/v1/audio-analysis/7fwXWKdDNI5IutOMc5OKYw,209733,4
50,50,0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88,audio_features,0tKcYR2II1VCQWT79i5NrW,spotify:track:0tKcYR2II1VCQWT79i5NrW,https://api.spotify.com/v1/tracks/0tKcYR2II1VCQWT79i5NrW,https://api.spotify.com/v1/audio-analysis/0tKcYR2II1VCQWT79i5NrW,187147,4
51,51,0.865,0.687,10,-3.744,0,0.217,0.242,0.0,0.158,0.486,139.023,audio_features,7KOlJ92bu51cltsD9KU5I7,spotify:track:7KOlJ92bu51cltsD9KU5I7,https://api.spotify.com/v1/tracks/7KOlJ92bu51cltsD9KU5I7,https://api.spotify.com/v1/audio-analysis/7KOlJ92bu51cltsD9KU5I7,242407,4
52,52,0.91,0.444,1,-8.126,0,0.344,0.022,0.0,0.137,0.53,149.953,audio_features,4knL4iPxPOZjQzTUlELGSY,spotify:track:4knL4iPxPOZjQzTUlELGSY,https://api.spotify.com/v1/tracks/4knL4iPxPOZjQzTUlELGSY,https://api.spotify.com/v1/audio-analysis/4knL4iPxPOZjQzTUlELGSY,276333,4
53,53,0.561,0.674,4,-4.882,0,0.0818,0.118,0.0,0.111,0.383,148.127,audio_features,0Zxswuv5xzIhxDnsKJLq82,spotify:track:0Zxswuv5xzIhxDnsKJLq82,https://api.spotify.com/v1/tracks/0Zxswuv5xzIhxDnsKJLq82,https://api.spotify.com/v1/audio-analysis/0Zxswuv5xzIhxDnsKJLq82,208733,4
54,54,0.497,0.489,11,-7.724,0,0.294,0.0576,9.91e-05,0.122,0.231,171.853,audio_features,2BoS7pU92MQtynhQ0cZOLT,spotify:track:2BoS7pU92MQtynhQ0cZOLT,https://api.spotify.com/v1/tracks/2BoS7pU92MQtynhQ0cZOLT,https://api.spotify.com/v1/audio-analysis/2BoS7pU92MQtynhQ0cZOLT,268187,4
55,55,0.577,0.522,5,-6.594,0,0.0984,0.13,9.03e-05,0.142,0.119,159.772,audio_features,7wGoVu4Dady5GV0Sv4UIsx,spotify:track:7wGoVu4Dady5GV0Sv4UIsx,https://api.spotify.com/v1/tracks/7wGoVu4Dady5GV0Sv4UIsx,https://api.spotify.com/v1/audio-analysis/7wGoVu4Dady5GV0Sv4UIsx,218320,4
56,56,0.732,0.396,4,-9.348,0,0.0286,0.0841,3.58e-05,0.105,0.548,90.024,audio_features,6i0V12jOa3mr6uu4WYhUBr,spotify:track:6i0V12jOa3mr6uu4WYhUBr,https://api.spotify.com/v1/tracks/6i0V12jOa3mr6uu4WYhUBr,https://api.spotify.com/v1/audio-analysis/6i0V12jOa3mr6uu4WYhUBr,195920,4
57,57,0.663,0.575,6,-4.907,0,0.0458,0.1,3.16e-06,0.133,0.458,110.04,audio_features,0Nhu3zSYbEz32IYiobV75e,spotify:track:0Nhu3zSYbEz32IYiobV75e,https://api.spotify.com/v1/tracks/0Nhu3zSYbEz32IYiobV75e,https://api.spotify.com/v1/audio-analysis/0Nhu3zSYbEz32IYiobV75e,214802,4
58,58,0.952,0.318,10,-10.357,1,0.467,0.174,0.0,0.205,0.665,120.077,audio_features,7FB8l7UA1HKqnuSLjP9qDc,spotify:track:7FB8l7UA1HKqnuSLjP9qDc,https://api.spotify.com/v1/tracks/7FB8l7UA1HKqnuSLjP9qDc,https://api.spotify.com/v1/audio-analysis/7FB8l7UA1HKqnuSLjP9qDc,209640,4
59,59,0.804,0.886,1,-2.512,1,0.04,0.0837,0.0,0.266,0.789,144.946,audio_features,0pSBuHjILhNEo55xK1zrRt,spotify:track:0pSBuHjILhNEo55xK1zrRt,https://api.spotify.com/v1/tracks/0pSBuHjILhNEo55xK1zrRt,https://api.spotify.com/v1/audio-analysis/0pSBuHjILhNEo55xK1zrRt,238587,4
